Dataset,StratificationType,Fold_Seed,Fold,Model,Init_Seed,Epoch,Test_Accuracy
Cora,ClassBasedStratification,1,1,MLP,102,1000,0.7675276752767528
Cora,ClassBasedStratification,1,1,MLP,103,1000,0.7730627306273062
Cora,ClassBasedStratification,1,1,MLP,104,1000,0.7785977859778598
Cora,ClassBasedStratification,1,1,MLP,105,1000,0.7583025830258303
Cora,ClassBasedStratification,1,1,MLP,106,1000,0.7859778597785978
Cora,ClassBasedStratification,1,1,MLP,107,1000,0.7896678966789668
Cora,ClassBasedStratification,1,1,MLP,108,1000,0.7749077490774908
Cora,ClassBasedStratification,1,1,MLP,109,1000,0.8062730627306273
Cora,ClassBasedStratification,1,1,GCN,100,1000,0.8874538745387454
Cora,ClassBasedStratification,1,1,GCN,101,1000,0.8856088560885609
Cora,ClassBasedStratification,1,1,GCN,102,1000,0.8874538745387454
Cora,ClassBasedStratification,1,1,GCN,103,1000,0.8837638376383764
Cora,ClassBasedStratification,1,1,GCN,104,1000,0.8819188191881919
Cora,ClassBasedStratification,1,1,GCN,105,1000,0.8892988929889298
Cora,ClassBasedStratification,1,1,GCN,106,1000,0.8856088560885609
Cora,ClassBasedStratification,1,1,GCN,107,1000,0.8837638376383764
Cora,ClassBasedStratification,1,1,GCN,108,1000,0.8911439114391144
Cora,ClassBasedStratification,1,1,GCN,109,1000,0.8874538745387454
Cora,ClassBasedStratification,1,1,GAT,100,1000,0.8837638376383764
Cora,ClassBasedStratification,1,1,GAT,101,1000,0.8892988929889298
Cora,ClassBasedStratification,1,1,GAT,102,1000,0.8948339483394834
Cora,ClassBasedStratification,1,1,GAT,103,1000,0.8837638376383764
Cora,ClassBasedStratification,1,1,GAT,104,1000,0.8856088560885609
Cora,ClassBasedStratification,1,1,GAT,105,1000,0.8911439114391144
Cora,ClassBasedStratification,1,1,GAT,106,1000,0.8911439114391144
Cora,ClassBasedStratification,1,1,GAT,107,1000,0.8911439114391144
Cora,ClassBasedStratification,1,1,GAT,108,1000,0.8948339483394834
Cora,ClassBasedStratification,1,1,GAT,109,1000,0.8929889298892989
Cora,ClassBasedStratification,1,1,SAGE,100,1000,0.8874538745387454
Cora,ClassBasedStratification,1,1,SAGE,101,1000,0.8800738007380073
Cora,ClassBasedStratification,1,1,SAGE,102,1000,0.8911439114391144
Cora,ClassBasedStratification,1,1,SAGE,103,1000,0.8948339483394834
Cora,ClassBasedStratification,1,1,SAGE,104,1000,0.8929889298892989
Cora,ClassBasedStratification,1,1,SAGE,105,1000,0.8985239852398524
Cora,ClassBasedStratification,1,1,SAGE,106,1000,0.8856088560885609
Cora,ClassBasedStratification,1,1,SAGE,107,1000,0.8856088560885609
Cora,ClassBasedStratification,1,1,SAGE,108,1000,0.8929889298892989
Cora,ClassBasedStratification,1,1,SAGE,109,1000,0.8856088560885609
Cora,ClassBasedStratification,1,1,MixHop,100,1000,0.9077490774907748
Cora,ClassBasedStratification,1,1,MixHop,101,1000,0.9022140221402214
Cora,ClassBasedStratification,1,1,MixHop,102,1000,0.9022140221402214
Cora,ClassBasedStratification,1,1,MixHop,103,1000,0.904059040590406
Cora,ClassBasedStratification,1,1,MixHop,104,1000,0.9003690036900369
Cora,ClassBasedStratification,1,1,MixHop,105,1000,0.8874538745387454
Cora,ClassBasedStratification,1,1,MixHop,106,1000,0.9022140221402214
Cora,ClassBasedStratification,1,1,MixHop,107,1000,0.9003690036900369
Cora,ClassBasedStratification,1,1,MixHop,108,1000,0.9059040590405903
Cora,ClassBasedStratification,1,1,MixHop,109,1000,0.9059040590405903
Cora,ClassBasedStratification,1,2,MLP,100,1000,0.7287822878228782
Cora,ClassBasedStratification,1,2,MLP,101,1000,0.7435424354243543
Cora,ClassBasedStratification,1,2,MLP,102,1000,0.7084870848708487
Cora,ClassBasedStratification,1,2,MLP,103,1000,0.7103321033210332
Cora,ClassBasedStratification,1,2,MLP,104,1000,0.7158671586715867
Cora,ClassBasedStratification,1,2,MLP,105,1000,0.7121771217712177
Cora,ClassBasedStratification,1,2,MLP,106,1000,0.7287822878228782
Cora,ClassBasedStratification,1,2,MLP,107,1000,0.7250922509225092
Cora,ClassBasedStratification,1,2,MLP,108,1000,0.7214022140221402
Cora,ClassBasedStratification,1,2,MLP,109,1000,0.7269372693726938
Cora,ClassBasedStratification,1,2,GCN,100,1000,0.8726937269372693
Cora,ClassBasedStratification,1,2,GCN,101,1000,0.8523985239852399
Cora,ClassBasedStratification,1,2,GCN,102,1000,0.8745387453874539
Cora,ClassBasedStratification,1,2,GCN,103,1000,0.8616236162361623
Cora,ClassBasedStratification,1,2,GCN,104,1000,0.8745387453874539
Cora,ClassBasedStratification,1,2,GCN,105,1000,0.8726937269372693
Cora,ClassBasedStratification,1,2,GCN,106,1000,0.8745387453874539
Cora,ClassBasedStratification,1,2,GCN,107,1000,0.8690036900369004
Cora,ClassBasedStratification,1,2,GCN,108,1000,0.8671586715867159
Cora,ClassBasedStratification,1,2,GCN,109,1000,0.8616236162361623
Cora,ClassBasedStratification,1,2,GAT,100,1000,0.8763837638376384
Cora,ClassBasedStratification,1,2,GAT,101,1000,0.8690036900369004
Cora,ClassBasedStratification,1,2,GAT,102,1000,0.8653136531365314
Cora,ClassBasedStratification,1,2,GAT,103,1000,0.8726937269372693
Cora,ClassBasedStratification,1,2,GAT,104,1000,0.8745387453874539
Cora,ClassBasedStratification,1,2,GAT,105,1000,0.8671586715867159
Cora,ClassBasedStratification,1,2,GAT,106,1000,0.8690036900369004
Cora,ClassBasedStratification,1,2,GAT,107,1000,0.8745387453874539
Cora,ClassBasedStratification,1,2,GAT,108,1000,0.8763837638376384
Cora,ClassBasedStratification,1,2,GAT,109,1000,0.8745387453874539
Cora,ClassBasedStratification,1,2,SAGE,100,1000,0.8745387453874539
Cora,ClassBasedStratification,1,2,SAGE,101,1000,0.8782287822878229
Cora,ClassBasedStratification,1,2,SAGE,102,1000,0.8745387453874539
Cora,ClassBasedStratification,1,2,SAGE,103,1000,0.8800738007380073
Cora,ClassBasedStratification,1,2,SAGE,104,1000,0.8726937269372693
Cora,ClassBasedStratification,1,2,SAGE,105,1000,0.8726937269372693
Cora,ClassBasedStratification,1,2,SAGE,106,1000,0.8708487084870848
Cora,ClassBasedStratification,1,2,SAGE,107,1000,0.8800738007380073
Cora,ClassBasedStratification,1,2,SAGE,108,1000,0.8800738007380073
Cora,ClassBasedStratification,1,2,SAGE,109,1000,0.8708487084870848
Cora,ClassBasedStratification,1,2,MixHop,100,1000,0.8911439114391144
Cora,ClassBasedStratification,1,2,MixHop,101,1000,0.8800738007380073
Cora,ClassBasedStratification,1,2,MixHop,102,1000,0.8690036900369004
Cora,ClassBasedStratification,1,2,MixHop,103,1000,0.8837638376383764
Cora,ClassBasedStratification,1,2,MixHop,104,1000,0.8763837638376384
Cora,ClassBasedStratification,1,2,MixHop,105,1000,0.8763837638376384
Cora,ClassBasedStratification,1,2,MixHop,106,1000,0.8708487084870848
Cora,ClassBasedStratification,1,2,MixHop,107,1000,0.8782287822878229
Cora,ClassBasedStratification,1,2,MixHop,108,1000,0.8800738007380073
Cora,ClassBasedStratification,1,2,MixHop,109,1000,0.8856088560885609
Cora,ClassBasedStratification,1,3,MLP,100,1000,0.7767527675276753
Cora,ClassBasedStratification,1,3,MLP,101,1000,0.7601476014760148
Cora,ClassBasedStratification,1,3,MLP,102,1000,0.7730627306273062
Cora,ClassBasedStratification,1,3,MLP,103,1000,0.7638376383763837
Cora,ClassBasedStratification,1,3,MLP,104,1000,0.7730627306273062
Cora,ClassBasedStratification,1,3,MLP,105,1000,0.7546125461254612
Cora,ClassBasedStratification,1,3,MLP,106,1000,0.7619926199261993
Cora,ClassBasedStratification,1,3,MLP,107,1000,0.7859778597785978
Cora,ClassBasedStratification,1,3,MLP,108,1000,0.7822878228782287
Cora,ClassBasedStratification,1,3,MLP,109,1000,0.7601476014760148
Cora,ClassBasedStratification,1,3,GCN,100,1000,0.8837638376383764
Cora,ClassBasedStratification,1,3,GCN,101,1000,0.8837638376383764
Cora,ClassBasedStratification,1,3,GCN,102,1000,0.8837638376383764
Cora,ClassBasedStratification,1,3,GCN,103,1000,0.8892988929889298
Cora,ClassBasedStratification,1,3,GCN,104,1000,0.8892988929889298
Cora,ClassBasedStratification,1,3,GCN,105,1000,0.8837638376383764
Cora,ClassBasedStratification,1,3,GCN,106,1000,0.8837638376383764
Cora,ClassBasedStratification,1,3,GCN,107,1000,0.8874538745387454
Cora,ClassBasedStratification,1,3,GCN,108,1000,0.8819188191881919
Cora,ClassBasedStratification,1,3,GCN,109,1000,0.8782287822878229
Cora,ClassBasedStratification,1,3,GAT,100,1000,0.8929889298892989
Cora,ClassBasedStratification,1,3,GAT,101,1000,0.8929889298892989
Cora,ClassBasedStratification,1,3,GAT,102,1000,0.8911439114391144
Cora,ClassBasedStratification,1,3,GAT,103,1000,0.8892988929889298
Cora,ClassBasedStratification,1,3,GAT,104,1000,0.8856088560885609
Cora,ClassBasedStratification,1,3,GAT,105,1000,0.8948339483394834
Cora,ClassBasedStratification,1,3,GAT,106,1000,0.8837638376383764
Cora,ClassBasedStratification,1,3,GAT,107,1000,0.8929889298892989
Cora,ClassBasedStratification,1,3,GAT,108,1000,0.8874538745387454
Cora,ClassBasedStratification,1,3,GAT,109,1000,0.8929889298892989
Cora,ClassBasedStratification,1,3,SAGE,100,1000,0.9022140221402214
