Dataset,StratificationType,Fold_Seed,Fold,Property,EMD,KS_Stat
Cora,LabelStratifiedKFold,3,3,Neighborhood Heterogeneity,0.0116952678342374,0.0225320535753834
Cora,LabelStratifiedKFold,3,3,PageRank,2.866363435535429e-05,0.0360417454590058
Cora,LabelStratifiedKFold,3,3,Eigenvector Centrality,0.0013298609133332,0.0448818200093358
Cora,LabelStratifiedKFold,3,3,Clustering Coefficient,0.0480921604966468,0.0736320798111028
Cora,LabelStratifiedKFold,3,4,Degree,0.299165690704206,0.0333672538932585
Cora,LabelStratifiedKFold,3,4,Neighborhood Heterogeneity,0.0104524008702941,0.0289393839878466
Cora,LabelStratifiedKFold,3,4,PageRank,1.898558321750855e-05,0.0310036192356017
Cora,LabelStratifiedKFold,3,4,Eigenvector Centrality,0.000545951012112,0.0349393140426853
Cora,LabelStratifiedKFold,3,4,Clustering Coefficient,0.015046721698744,0.0380407848529488
Cora,LabelStratifiedKFold,3,5,Degree,0.2818755880298266,0.0264375649871582
Cora,LabelStratifiedKFold,3,5,Neighborhood Heterogeneity,0.0140359704968184,0.0223585678984123
Cora,LabelStratifiedKFold,3,5,PageRank,1.928704032878317e-05,0.0366615003919488
Cora,LabelStratifiedKFold,3,5,Eigenvector Centrality,0.0007614620380564,0.025901887410468
Cora,LabelStratifiedKFold,3,5,Clustering Coefficient,0.0108324581408309,0.0321449195502696
Cora,LabelStratifiedKFold,4,1,Degree,0.3096871134916333,0.0240806424684745
Cora,LabelStratifiedKFold,4,1,Neighborhood Heterogeneity,0.0097692888512693,0.032487998010174
Cora,LabelStratifiedKFold,4,1,PageRank,2.091782508853947e-05,0.0309479272078039
Cora,LabelStratifiedKFold,4,1,Eigenvector Centrality,0.0012649941298904,0.02826643224881
Cora,LabelStratifiedKFold,4,1,Clustering Coefficient,0.0081721432390683,0.0166477565052658
Cora,LabelStratifiedKFold,4,2,Degree,0.500867141635404,0.0817481166501415
Cora,LabelStratifiedKFold,4,2,Neighborhood Heterogeneity,0.0124780225758577,0.0255576793995086
Cora,LabelStratifiedKFold,4,2,PageRank,3.308424095968802e-05,0.0959443666458825
Cora,LabelStratifiedKFold,4,2,Eigenvector Centrality,0.0015491760575875,0.0437284705257024
Cora,LabelStratifiedKFold,4,2,Clustering Coefficient,0.0181998278532326,0.0627050730341098
Cora,LabelStratifiedKFold,4,3,Degree,0.5165063561992957,0.0766798526711028
Cora,LabelStratifiedKFold,4,3,Neighborhood Heterogeneity,0.0308278989198327,0.0505770154654455
Cora,LabelStratifiedKFold,4,3,PageRank,3.4174253968843726e-05,0.0919527893339875
Cora,LabelStratifiedKFold,4,3,Eigenvector Centrality,0.000693320321105,0.0249034900321302
Cora,LabelStratifiedKFold,4,3,Clustering Coefficient,0.0249185444866254,0.0636676172855911
Cora,LabelStratifiedKFold,4,4,Degree,0.3253610065961713,0.035677150195292
Cora,LabelStratifiedKFold,4,4,Neighborhood Heterogeneity,0.0116016756944981,0.0215482276152026
Cora,LabelStratifiedKFold,4,4,PageRank,2.520497237121917e-05,0.0517619783221179
Cora,LabelStratifiedKFold,4,4,Eigenvector Centrality,0.0005491763197869,0.035170474270843
Cora,LabelStratifiedKFold,4,4,Clustering Coefficient,0.0329255783770704,0.0506351788335706
Cora,LabelStratifiedKFold,4,5,Degree,0.7321108852583754,0.0348966645540953
Cora,LabelStratifiedKFold,4,5,Neighborhood Heterogeneity,0.0108376802726462,0.0226997638071321
Cora,LabelStratifiedKFold,4,5,PageRank,4.847268956305979e-05,0.03354808772488
Cora,LabelStratifiedKFold,4,5,Eigenvector Centrality,0.0013118961193422,0.0388212704941455
Cora,LabelStratifiedKFold,4,5,Clustering Coefficient,0.0087488329752608,0.023402627379095
Cora,LabelStratifiedKFold,5,1,Degree,0.2399103215408878,0.0405069286149925
Cora,LabelStratifiedKFold,5,1,Neighborhood Heterogeneity,0.006019400238269,0.0186852838057466
Cora,LabelStratifiedKFold,5,1,PageRank,1.276460662053966e-05,0.0316685576828067
Cora,LabelStratifiedKFold,5,1,Eigenvector Centrality,0.0006467923547735,0.0473162903374186
Cora,LabelStratifiedKFold,5,1,Clustering Coefficient,0.0070912234516333,0.0177346648812748
Cora,LabelStratifiedKFold,5,2,Degree,0.2876695525958026,0.016831747264841
Cora,LabelStratifiedKFold,5,2,Neighborhood Heterogeneity,0.0206601090433821,0.0394455745111467
Cora,LabelStratifiedKFold,5,2,PageRank,2.0635510897757017e-05,0.0212253784587707
Cora,LabelStratifiedKFold,5,2,Eigenvector Centrality,0.0006542380738301,0.0294828156037793
Cora,LabelStratifiedKFold,5,2,Clustering Coefficient,0.009739845681868,0.0388373828336621
Cora,LabelStratifiedKFold,5,3,Degree,0.2203766358993223,0.0278456385671889
Cora,LabelStratifiedKFold,5,3,Neighborhood Heterogeneity,0.0073120723222584,0.015070206103723
Cora,LabelStratifiedKFold,5,3,PageRank,1.400123448654127e-05,0.0268813906975634
Cora,LabelStratifiedKFold,5,3,Eigenvector Centrality,0.000636394727705,0.0245303976585472
Cora,LabelStratifiedKFold,5,3,Clustering Coefficient,0.0084596022739021,0.0428170348185476
Cora,LabelStratifiedKFold,5,4,Degree,0.5292733294835099,0.0302768719500284
Cora,LabelStratifiedKFold,5,4,Neighborhood Heterogeneity,0.019037273763261,0.0359219582597985
Cora,LabelStratifiedKFold,5,4,PageRank,3.936124080953827e-05,0.042769760147806
Cora,LabelStratifiedKFold,5,4,Eigenvector Centrality,0.001530640034641,0.0209025143579503
Cora,LabelStratifiedKFold,5,4,Clustering Coefficient,0.01509951052554,0.0455786554663423
Cora,LabelStratifiedKFold,5,5,Degree,0.3945708907004529,0.0342808059388559
Cora,LabelStratifiedKFold,5,5,Neighborhood Heterogeneity,0.0128199475405534,0.0277127846959987
Cora,LabelStratifiedKFold,5,5,PageRank,2.396808841176951e-05,0.0461791602656892
Cora,LabelStratifiedKFold,5,5,Eigenvector Centrality,0.0006299987654767,0.0429966554271047
Cora,LabelStratifiedKFold,5,5,Clustering Coefficient,0.0169429486037095,0.0449099114852513
Cora,LabelStratifiedKFold,6,1,Degree,0.5703986125733824,0.0358424221361327
Cora,LabelStratifiedKFold,6,1,Neighborhood Heterogeneity,0.0139870966771991,0.0381218632130919
Cora,LabelStratifiedKFold,6,1,PageRank,4.270142131511337e-05,0.0493981117096489
Cora,LabelStratifiedKFold,6,1,Eigenvector Centrality,0.0015707847461445,0.0286804114578541
Cora,LabelStratifiedKFold,6,1,Clustering Coefficient,0.0140115057486631,0.0341353967556296
Cora,LabelStratifiedKFold,6,2,Degree,0.2694203950349743,0.0294282998231644
Cora,LabelStratifiedKFold,6,2,Neighborhood Heterogeneity,0.0112370414199064,0.0212850050938182
Cora,LabelStratifiedKFold,6,2,PageRank,1.895999137874662e-05,0.0353841488553389
Cora,LabelStratifiedKFold,6,2,Eigenvector Centrality,0.0009676119173108,0.027878007311929
Cora,LabelStratifiedKFold,6,2,Clustering Coefficient,0.0108201108279959,0.031004146606563
Cora,LabelStratifiedKFold,6,3,Degree,0.3828370693679231,0.0237518441666411
Cora,LabelStratifiedKFold,6,3,Neighborhood Heterogeneity,0.0222000550865996,0.0343023513337626
Cora,LabelStratifiedKFold,6,3,PageRank,2.5224904837379764e-05,0.0294794083674908
Cora,LabelStratifiedKFold,6,3,Eigenvector Centrality,0.0010321262438014,0.0328934591284971
Cora,LabelStratifiedKFold,6,3,Clustering Coefficient,0.0115199131438864,0.0222322167820016
Cora,LabelStratifiedKFold,6,4,Degree,0.3692626841711553,0.0307391924063438
Cora,LabelStratifiedKFold,6,4,Neighborhood Heterogeneity,0.0253771210693128,0.0523155686840159
Cora,LabelStratifiedKFold,6,4,PageRank,2.689396872234869e-05,0.0294887094008855
