Dataset,StratificationMethod,StratSeed,DegreeEmd,NeighHetEmd,PageRankEmd,EigCentralityEmd,ClusteringEmd
Texas,WDES_PageRank,0,0.9868704770344106,0.0212924237449465,0.0015209909958589,0.0099309445106847,0.0494621430809416
Texas,WDES_EigCentrality,0,1.1352040565155312,0.0181767495790021,0.0018648477828483,0.0067481168374726,0.0569232502366808
Texas,WDES_Clustering,0,1.1499236941859885,0.0317098618771816,0.0018457537718305,0.0107770437049223,0.0129318403666317
Texas,WDES_Degree,1,0.9263870427804848,0.0142385779386151,0.001601609810207,0.0087773006116771,0.0487529634137271
Texas,WDES_NeighHet,1,1.122955742627873,0.0099879203834934,0.0017931227503437,0.0103630870448453,0.0468369799189736
Texas,WDES_PageRank,1,0.933980702013488,0.0238611885966849,0.001508787160148,0.0086777416417672,0.0268527729969123
Texas,WDES_EigCentrality,1,0.9977895928715592,0.0264746317772082,0.0016426952199097,0.0068831575542187,0.0430398653704227
Texas,WDES_Clustering,1,1.0890021168709687,0.0368721212127693,0.001807572964398,0.0089128228914266,0.0111442307120264
Texas,WDES_Degree,2,0.9133116723280648,0.0220022347992629,0.0016008007009083,0.0110683419748509,0.0555393338888562
Texas,WDES_NeighHet,2,1.112772608674247,0.0099307553742805,0.0018083566551693,0.0095673803285103,0.0589109631731412
Texas,WDES_PageRank,2,0.9787623689263028,0.0257676348152525,0.0015223832422595,0.0080198586425543,0.0411575937289268
Texas,WDES_EigCentrality,2,1.1215010092059277,0.0192990721435564,0.0017713083148421,0.006711737494728,0.0538482909522097
Texas,WDES_Clustering,2,1.056488455668783,0.019144321932757,0.0016928807832158,0.0081362625327134,0.0115615868108354
Texas,WDES_Degree,3,0.9347732978880516,0.0318581110545884,0.0015733531253345,0.0073532513205327,0.0473448182294649
Texas,WDES_NeighHet,3,1.096288091370058,0.0102339997972339,0.0017556900073702,0.0117453608428682,0.0384140658114078
Texas,WDES_PageRank,3,0.9514965785457582,0.0256041663792245,0.0015289275935267,0.0070070537147804,0.0403484072986277
Texas,WDES_EigCentrality,3,1.1699256633682855,0.0234191201801845,0.0018614887284292,0.0067681113016873,0.0385857620509482
Texas,WDES_Clustering,3,1.0853935903116227,0.0215647695624506,0.0017694522676443,0.0091990283167557,0.0123365198004904
Texas,WDES_Degree,4,0.9073056663220592,0.0196556790977091,0.0015845274458509,0.0073341600773696,0.0556469123090148
Texas,WDES_NeighHet,4,1.0738935656968438,0.0100058304493556,0.0017587488881269,0.0082131554491942,0.0451399161968532
Texas,WDES_PageRank,4,0.9631762910451428,0.0269986749567047,0.0015324218505419,0.0113969221259648,0.0269115781859007
Texas,WDES_EigCentrality,4,1.1076158125338458,0.0315326042773853,0.0018222457694412,0.0069383034609059,0.0473413771320822
Texas,WDES_Clustering,4,1.1191626052281791,0.0318264326561677,0.0017539554701664,0.0083893233901113,0.0119927427494453
CiteSeer,WDES_Degree,0,0.0705828010834899,0.0104854668060758,8.302690580720534e-06,0.0006425166666595,0.0063496886894992
CiteSeer,WDES_NeighHet,0,0.1878646318881719,0.0029571261912899,1.125732496700432e-05,0.0007756665009246,0.0114628474145568
CiteSeer,WDES_PageRank,0,0.1391475337382043,0.0125417397422072,5.2311791311239935e-06,0.0008791682927288,0.0175867777442878
CiteSeer,WDES_EigCentrality,0,0.1413903653275307,0.0143279101808178,1.1479373887645772e-05,0.0003297490835246,0.013448863056704
CiteSeer,WDES_Clustering,0,0.1319704272093818,0.014898757849231,1.0184078939915602e-05,0.0005977153732097,0.0024337813520477
CiteSeer,WDES_Degree,1,0.0721967364898411,0.0107234355811271,8.040034277390379e-06,0.0007080185811101,0.0109682322827668
CiteSeer,WDES_NeighHet,1,0.1664504045188406,0.0024005098741361,1.0035884715269049e-05,0.0006717696216418,0.0072139437956846
CiteSeer,WDES_PageRank,1,0.1349502713965726,0.0144112698632327,5.212788084410842e-06,0.0007919756853477,0.0083035551723442
CiteSeer,WDES_EigCentrality,1,0.1696761391858927,0.0166877653958149,1.0946609412008764e-05,0.0003526135564164,0.0078418197867113
CiteSeer,WDES_Clustering,1,0.161932357925904,0.0070947310852083,7.975405637969517e-06,0.000755960014119,0.0017614826137706
CiteSeer,WDES_Degree,2,0.0794991662781521,0.0083340344606758,8.748656711940358e-06,0.0007535382470148,0.0100425857828897
CiteSeer,WDES_NeighHet,2,0.1873151045511168,0.0019306653377199,9.764180994369416e-06,0.0008170027711149,0.0122216797555449
CiteSeer,WDES_PageRank,2,0.1362155699975462,0.0051690118045772,5.13226526451148e-06,0.0008227751692321,0.0080524703352274
CiteSeer,WDES_EigCentrality,2,0.139193349298234,0.0175494792648426,8.069970968193513e-06,0.0003066517785913,0.0053861178404912
CiteSeer,WDES_Clustering,2,0.150191751647782,0.0150061906080033,1.081080735154072e-05,0.0005117879978693,0.0021618698957431
CiteSeer,WDES_Degree,3,0.0773157143258241,0.008699644072225,7.689275495605445e-06,0.0005236772167614,0.0092204084260527
CiteSeer,WDES_NeighHet,3,0.1530569805858126,0.0030769113820245,8.987857980309666e-06,0.0006668336901449,0.0126262521672931
CiteSeer,WDES_PageRank,3,0.1322564378109923,0.0094587872101268,5.266160001596379e-06,0.0006338357675513,0.0094403126079407
CiteSeer,WDES_EigCentrality,3,0.1455614894065851,0.017097402782306,9.798377155165424e-06,0.0003247307985936,0.0098689231923462
CiteSeer,WDES_Clustering,3,0.130241717340574,0.0126801541359172,7.800050054992305e-06,0.0007718584443005,0.0021602438449358
CiteSeer,WDES_Degree,4,0.0759774378064925,0.0156969941472474,9.416986164920776e-06,0.0005894686453778,0.0068372653543286
CiteSeer,WDES_NeighHet,4,0.1605900485460077,0.0018356391303428,1.0553103133010196e-05,0.0006234826473913,0.0075703517348866
CiteSeer,WDES_PageRank,4,0.1154951738113435,0.0161717774773027,5.307925470528444e-06,0.0008619284787053,0.0126398391709234
CiteSeer,WDES_EigCentrality,4,0.1231599563657848,0.0155083050474478,7.961061301059217e-06,0.0003169441631558,0.0091674430842128
CiteSeer,WDES_Clustering,4,0.1833219715712253,0.0130297359380185,1.1444979051191834e-05,0.000593283530873,0.0017547223027819
CiteSeer,WDES_Degree,5,0.0754550467672779,0.0081924744106071,8.436162429915494e-06,0.000489032162817,0.0068531511968444
CiteSeer,WDES_NeighHet,5,0.1463773769226769,0.0019794352042026,1.072436060403971e-05,0.0005337037507387,0.0096661790419052
CiteSeer,WDES_PageRank,5,0.1193233520441539,0.0093507859033023,5.385856923001245e-06,0.0007553900014601,0.0118283772239401
CiteSeer,WDES_EigCentrality,5,0.1680552855342861,0.009639184588154,1.2001216799447954e-05,0.0003268774634121,0.0042543765259509
CiteSeer,WDES_Clustering,5,0.1547736317780463,0.0122926055414825,9.656437232728862e-06,0.0007544579568139,0.0015775965181502
CiteSeer,WDES_Degree,6,0.0736902129897247,0.0146695025711134,8.620782467199885e-06,0.000778646303961,0.0088555566211369
CiteSeer,WDES_NeighHet,6,0.1486213710540992,0.0022625835507542,9.437374342843009e-06,0.0007713615683426,0.007447091168804
CiteSeer,WDES_PageRank,6,0.1246895229772179,0.0143432627316489,5.384066613654557e-06,0.0007336818070697,0.0108374319702607
CiteSeer,WDES_EigCentrality,6,0.1475429697241674,0.0141292093490851,1.0481435286089938e-05,0.00032037752282,0.0171400882275776
CiteSeer,WDES_Clustering,6,0.1404539594544821,0.0193015014149443,1.053951949655054e-05,0.0005171706740163,0.001625893992345
CiteSeer,WDES_Degree,7,0.0803688581155252,0.0091817225639613,8.005203313017593e-06,0.0006672327785222,0.0053504535965866
CiteSeer,WDES_NeighHet,7,0.1887160036094592,0.0026989100029204,1.2906025715374862e-05,0.0006691876343939,0.0140327968704256
CiteSeer,WDES_PageRank,7,0.1183686871342899,0.0096889331372229,5.010528769621349e-06,0.0008621675710928,0.0070959517959172
CiteSeer,WDES_EigCentrality,7,0.1494274700064657,0.0096359003790172,1.131442306467024e-05,0.0003238864452168,0.0137813316759433
CiteSeer,WDES_Clustering,7,0.1299267596443814,0.0081333184890296,9.499491822501614e-06,0.000632479722045,0.0018649286255262
CiteSeer,WDES_Degree,8,0.077088981562429,0.006697022709963,9.092651823736308e-06,0.0007326389393336,0.0053184832923479
CiteSeer,WDES_NeighHet,8,0.174149220849426,0.0018380025424456,1.044353140847701e-05,0.0006684522086516,0.0108695835584015
CiteSeer,WDES_PageRank,8,0.1304384178343656,0.0146495615010312,5.14867367090039e-06,0.0006702816596038,0.0095570731544478
CiteSeer,WDES_EigCentrality,8,0.1552874961512431,0.0093191446722137,1.0463858160573017e-05,0.0003037776540037,0.0118422760504859
CiteSeer,WDES_Clustering,8,0.115310254287048,0.0100248660924567,8.896429405513575e-06,0.0007153808303176,0.0018892232987789
CiteSeer,WDES_Degree,9,0.067913091366179,0.0157712005298786,8.190717527513072e-06,0.0004732646147722,0.0093354205447245
CiteSeer,WDES_NeighHet,9,0.1354844719089425,0.0019858747431272,9.983431883019188e-06,0.0005175938426626,0.012277242679439
CiteSeer,WDES_PageRank,9,0.1279291206024641,0.0120554956495425,5.484217707048591e-06,0.000669559209684,0.0116482518851444
CiteSeer,WDES_EigCentrality,9,0.1785156234968786,0.0108678032779608,1.060288963637305e-05,0.0003096488045432,0.0115491829373468
CiteSeer,WDES_Clustering,9,0.1765195945045033,0.0088043445801908,1.118120790671308e-05,0.0006226775033269,0.0015851292323279
