Dataset,TargetProperty,StratSeed,RequestedBins,StratifiedKFoldSeconds,RandomTargetEmd,LabelTargetEmd,StratifiedKFoldTargetEmd,RandomToStratifiedKFoldRatio,LabelToStratifiedKFoldRatio,DegreeEmd,NeighHetEmd,PageRankEmd,EigCentralityEmd,ClusteringEmd
chameleon,Eigenvector Centrality,1,350,0.0016159579972736537,0.0010098749699039592,0.00048224006575175386,0.0005132975354745194,1.9674261030113407,0.9394942161683001,2.9232347464384043,0.007857086589124776,5.354766020012607e-05,0.0005132975354745194,0.012509822764573264
chameleon,Clustering Coefficient,1,350,0.0014884579868521541,0.013809095188557278,0.013646615545393736,0.006709497901434799,2.0581413678666265,2.0339250039075893,2.0093351271154467,0.007837098644843249,3.772894813464648e-05,0.0005951499307195015,0.006709497901434799
chameleon,Degree,1,400,0.0017158330010715872,2.7063789655551664,1.5872114232068495,0.6337955421136223,4.270113602455705,2.504295656472613,0.6337955421136223,0.010855467744806571,2.4250014343210088e-05,0.0005486549446205712,0.013176310947614841
chameleon,Neighborhood Heterogeneity,1,400,0.0016217909869737923,0.014835715583659287,0.00944440306003003,0.0016796281517440354,8.832738108285861,5.622913053834845,1.7490013673080036,0.0016796281517440354,3.501372382229651e-05,0.0006322887549374629,0.010707336696134042
chameleon,PageRank,1,400,0.0017920829996000975,4.1094073446203285e-05,2.783598601009328e-05,1.5223895838271682e-05,2.6993138867185364,1.8284403877827244,1.3747043701277142,0.007234148371863996,1.5223895838271682e-05,0.000793021599952151,0.008994260730430092
chameleon,Eigenvector Centrality,1,400,0.001735208003083244,0.0010098749699039592,0.00048224006575175386,9.715643365325116e-05,10.394319057739166,4.963542275263586,1.574219251381726,0.010416936066965265,3.3996321446646744e-05,9.715643365325116e-05,0.012117647659265762
chameleon,Clustering Coefficient,1,400,0.0016608329897280782,0.013809095188557278,0.013646615545393736,0.005723652717448316,2.412636802100314,2.3842493979050476,2.1688385857722245,0.009265219169667823,3.4935450233158186e-05,0.0006071213810740477,0.005723652717448316
chameleon,Degree,1,450,0.0017335829907096922,2.7063789655551664,1.5872114232068495,0.5360865844046645,5.048398979356399,2.960737070056475,0.5360865844046645,0.01052341202253343,2.13452569396974e-05,0.0003308960375600338,0.00971257942125359
chameleon,Neighborhood Heterogeneity,1,450,0.0018219579942524433,0.014835715583659287,0.00944440306003003,0.0007562297129918176,19.618001420449094,12.488801878288825,2.247498946514964,0.0007562297129918176,3.436424719721114e-05,0.0007269947227742296,0.009432973585612882
chameleon,PageRank,1,450,0.0018688749987632036,4.1094073446203285e-05,2.783598601009328e-05,1.3234955650377963e-05,3.1049649527937575,2.1032171731756684,1.5060505157187112,0.009097809487287898,1.3234955650377963e-05,0.0008941176507362116,0.0076157652376624505
chameleon,Eigenvector Centrality,1,450,0.0018102499889209867,0.0010098749699039592,0.00048224006575175386,9.786767995394919e-05,10.31877909417233,4.9274700900099795,1.7408862152340405,0.00890086908703173,3.712607825368166e-05,9.786767995394919e-05,0.012294587382504682
