Dataset,TargetProperty,StratSeed,HyperparamName,Population,Generations,EvolutionSeconds,StratifiedKFoldSeconds,RandomTargetEmd,LabelTargetEmd,StratifiedKFoldTargetEmd,WdesTargetEmd,RandomToWdesRatio,LabelToWdesRatio,RandomToStratifiedKFoldRatio,LabelToStratifiedKFoldRatio,StratifiedKFoldToWdesRatio,DegreeEmd,NeighHetEmd,PageRankEmd,EigCentralityEmd,ClusteringEmd
Cora,Degree,2,pop100_gen200,100,200,28.254723458027,0.000753208005335182,0.22191878311971394,0.2880084787518428,0.17799083814344374,0.1213596028445596,1.8286050540553684,2.3731824429314528,1.2467989107443185,1.6181084473557863,1.4666399194748423,0.1213596028445596,0.014415391310411165,1.1444799598663354e-05,0.0007255127016563456,0.010317251140328674
Cora,Neighborhood Heterogeneity,2,pop100_gen200,100,200,23.412645292002708,0.0005976660177111626,0.00908160894129743,0.01513166615556232,0.003127953744345145,0.0026305519083651948,3.4523587663933855,5.752278108424089,2.9033706005773166,4.837560716144868,1.1890864933697773,0.26279854686756243,0.0026305519083651948,1.9862196355250202e-05,0.0006758648407092216,0.01300379183130749
Cora,PageRank,2,pop100_gen200,100,200,32.03136441699462,0.0007554579933639616,1.66699110775385e-05,2.2586675250915984e-05,1.4719253268867915e-05,9.022047221225058e-06,1.8476860815271787,2.503497786819282,1.132524237000279,1.5344987166358588,1.6314759730186008,0.15137345384489703,0.0063242864345292495,9.022047221225058e-06,0.0008606147499574833,0.009255269065321337
Cora,Eigenvector Centrality,2,pop100_gen200,100,200,32.38910058300826,0.0006834999949205667,0.0008027274574307344,0.0007339245870973372,0.0005486256054349074,0.00044880850983697784,1.7885745030153544,1.6352733315237782,1.4631607593203657,1.3377512457070597,1.2224046412002891,0.3219474041612961,0.012127584604000203,2.287731618867255e-05,0.00044880850983697784,0.019212620903077533
Cora,Clustering Coefficient,2,pop100_gen200,100,200,29.796837333007716,0.0006373340147547424,0.010381056564755062,0.00902135762287154,0.0023694362891598956,0.0014050374064364982,7.38845565050388,6.420724161182158,4.3812347317579725,3.807385606502271,1.6863866245165227,0.23920957766765422,0.014041161682076583,1.759667291763969e-05,0.0009532092323570592,0.0014050374064364982
Cora,Degree,3,pop100_gen200,100,200,28.971921707998263,0.000760875002015382,0.33609025691001554,0.23781076657532427,0.1666477344105159,0.12381678596080078,2.7144159356261963,1.92066661018493,2.016770633569486,1.4270267004621084,1.3459219855963227,0.12381678596080078,0.011992600020038435,1.2850659829715172e-05,0.0008939592286635704,0.009834642536615128
Cora,Neighborhood Heterogeneity,3,pop100_gen200,100,200,26.51666379199014,0.0006568749959114939,0.009094417088835563,0.012022368079523789,0.0026117372122283176,0.0014754739234019542,6.163726071055765,8.148139990033975,3.4821332890058505,4.603207406638886,1.7701005560345768,0.24236233430627663,0.0014754739234019542,1.8836113597809328e-05,0.0007458390685979758,0.009315754340664612
Cora,PageRank,3,pop100_gen200,100,200,31.69887100000051,0.0007332079985644668,2.4507559756539373e-05,1.7364371710429918e-05,1.3502608287037103e-05,9.362980528969264e-06,2.6174955379552967,1.8545773599233895,1.8150241224184325,1.2860012925873159,1.442127135185184,0.16780815302125632,0.014898644615758665,9.362980528969264e-06,0.0006602046447859321,0.010783839036767951
Cora,Eigenvector Centrality,3,pop100_gen200,100,200,32.13692554100999,0.0007807500078342855,0.0009334696125981728,0.000664730457370697,0.000582358004647631,0.0004454061316013577,2.0957718054802985,1.4924142489480507,1.602913680499661,1.1414464162348166,1.307476398122077,0.29401386804722335,0.009419890644328879,2.1838982954993032e-05,0.0004454061316013577,0.00822938605683204
Cora,Clustering Coefficient,3,pop100_gen200,100,200,27.39832895802101,0.0007248749898280948,0.010765921365833448,0.017183309792097333,0.002273306382861542,0.001994846791283574,5.396866272074043,8.613849377896745,4.735798679402713,7.558730280107563,1.1395894626066971,0.2092242973339332,0.00961612208448825,1.543871393829909e-05,0.0007163857576139186,0.001994846791283574
