Dataset,TargetProperty,StratSeed,HyperparamName,Population,Generations,EvolutionSeconds,RandomTargetEmd,LabelTargetEmd,WdesTargetEmd,RandomToWdesRatio,LabelToWdesRatio,DegreeEmd,NeighHetEmd,PageRankEmd,EigCentralityEmd,ClusteringEmd
actor,Degree,5,pop100_gen100,100,100,45.49906487495173,0.47547368421048664,0.5398421052631183,0.3375789473683816,1.4084814468350952,1.5991580916745316,0.3375789473683816,0.005004879439445701,7.397952709704922e-06,0.0002614394480717736,0.003425958765197803
actor,Neighborhood Heterogeneity,5,pop100_gen100,100,100,39.62775300000794,0.006159292837702915,0.006054319873452189,0.0019829657656189555,3.1061014488973675,3.0531640931089985,0.4978421052631177,0.0019829657656189555,9.031998818757148e-06,0.0002667840978723547,0.004167891195403451
actor,PageRank,5,pop100_gen100,100,100,56.86684787494596,8.840997955162486e-06,1.0203696283341668e-05,6.789263166087067e-06,1.3022028663322411,1.502916595472389,0.3622105263157499,0.004234336695584812,6.789263166087067e-06,0.00027119162861383584,0.005297174321167544
actor,Eigenvector Centrality,5,pop100_gen100,100,100,53.03973879094701,0.00023975777129118178,0.0003333651201591303,0.00017046241963758759,1.4065139507049114,1.9556516965316035,0.48205263157890743,0.00854255476799843,9.206700079995328e-06,0.00017046241963758759,0.004581145050148669
actor,Clustering Coefficient,5,pop100_gen100,100,100,42.68440687505063,0.0026829102041958197,0.00394151912663431,0.0007995911093741792,3.3553527205869877,4.929418399510773,0.5073157894736443,0.00706487730106241,9.36892398652632e-06,0.00023831143634853034,0.0007995911093741792
actor,Degree,6,pop50_gen20,50,20,4.45934304210823,0.5722631578946974,0.5428947368420651,0.39268421052627644,1.4573113523656802,1.382522450073753,0.39268421052627644,0.007147782302118444,7.872484989161306e-06,0.0002913297943863048,0.0032255911862536625
actor,Neighborhood Heterogeneity,6,pop50_gen20,50,20,4.519184250035323,0.003681165836065218,0.004044891518589699,0.0021278284122481133,1.730010660105792,1.9009481663590309,0.4585789473683815,0.0021278284122481133,8.638882058047753e-06,0.00030831570963446694,0.0031018017464160717
actor,PageRank,6,pop50_gen20,50,20,5.167532333987765,1.0131726008734691e-05,9.639165536224194e-06,7.865954168256046e-06,1.2880479331576105,1.2254286422267937,0.43299999999995975,0.006297629976351004,7.865954168256046e-06,0.00030951137656600245,0.004406599303860154
actor,Eigenvector Centrality,6,pop50_gen20,50,20,5.179872333072126,0.00027574706170635895,0.0003366127785468193,0.00019830977573612974,1.3904864784541282,1.6974089012874234,0.4733157894736447,0.007622682860317203,8.760845676182198e-06,0.00019830977573612974,0.0038595348908145406
actor,Clustering Coefficient,6,pop50_gen20,50,20,4.207311667036265,0.003946980960328356,0.0035313381691761377,0.0013837052841795395,2.852472275314535,2.552088374274024,0.5148421052631187,0.007061465279738367,9.592105992363938e-06,0.0003071289921451247,0.0013837052841795395
actor,Degree,6,pop100_gen50,100,50,22.551089707994834,0.5722631578946974,0.5428947368420651,0.34705263157890753,1.6489232635730207,1.5643008795875677,0.34705263157890753,0.008199953067655627,7.608654503299305e-06,0.0002867145389794603,0.0052675123822380045
actor,Neighborhood Heterogeneity,6,pop100_gen50,100,50,21.77881445805542,0.003681165836065218,0.004044891518589699,0.001374203321180841,2.678763600208755,2.9434447262970944,0.5296842105262755,0.001374203321180841,9.358659485889913e-06,0.0003340717662213063,0.002671124720237938
actor,PageRank,6,pop100_gen50,100,50,28.625224792049266,1.0131726008734691e-05,9.639165536224194e-06,7.170551552418161e-06,1.4129632755123167,1.3442711436853878,0.3693684210525924,0.004590411073577245,7.170551552418161e-06,0.00030723473842142126,0.003461719856895814
actor,Eigenvector Centrality,6,pop100_gen50,100,50,27.254367124987766,0.00027574706170635895,0.0003366127785468193,0.00018955263993452367,1.4547255147784226,1.7758274359201434,0.43710526315785503,0.004912771839452411,8.286426259639175e-06,0.00018955263993452367,0.006351848373038616
actor,Clustering Coefficient,6,pop100_gen50,100,50,21.714827749994583,0.003946980960328356,0.0035313381691761377,0.0008944850947608881,4.412573203786537,3.9479005182530487,0.46831578947364455,0.00560038705856392,8.567465183069234e-06,0.00032652357540603484,0.0008944850947608881
actor,Degree,6,pop200_gen50,200,50,45.06806395808235,0.5722631578946974,0.5428947368420651,0.34531578947364483,1.6572168876696374,1.5721688766956887,0.34531578947364483,0.004916191024509702,7.314988635163678e-06,0.00027060444199532204,0.0037961596111533978
actor,Neighborhood Heterogeneity,6,pop200_gen50,200,50,43.36005237500649,0.003681165836065218,0.004044891518589699,0.0013980650378293095,2.6330433395149773,2.8932069747412865,0.4482631578946973,0.0013980650378293095,8.821863112991381e-06,0.00021972005049188491,0.003009145692405845
actor,PageRank,6,pop200_gen50,200,50,55.900179582997225,1.0131726008734691e-05,9.639165536224194e-06,6.966519590422236e-06,1.4543454413971746,1.3836414885671728,0.35899999999996046,0.005859779605347855,6.966519590422236e-06,0.00024659072869667845,0.004590314706875626
actor,Eigenvector Centrality,6,pop200_gen50,200,50,56.52424091694411,0.00027574706170635895,0.0003366127785468193,0.00017958004996533814,1.535510552311254,1.8744441746830511,0.48389473684206497,0.004401577771592301,9.260375659887508e-06,0.00017958004996533814,0.0038809077623131586
actor,Clustering Coefficient,6,pop200_gen50,200,50,43.50373287498951,0.003946980960328356,0.0035313381691761377,0.001056506246536653,3.7358803824085336,3.342467856439338,0.4350526315789077,0.0088715858775142,8.366607379802799e-06,0.00028638139818446256,0.001056506246536653
actor,Degree,6,pop100_gen100,100,100,46.06778283393942,0.5722631578946974,0.5428947368420651,0.32594736842101335,1.755691910221308,1.66559018246415,0.32594736842101335,0.00836286546936945,7.410492923139933e-06,0.00027287117554109007,0.004601736356648644
actor,Neighborhood Heterogeneity,6,pop100_gen100,100,100,41.66171524999663,0.003681165836065218,0.004044891518589699,0.0010149639175322444,3.626893303769364,3.985256469436212,0.5555263157894332,0.0010149639175322444,9.748564042671946e-06,0.00034224825477470976,0.0025390236717703772
actor,PageRank,6,pop100_gen100,100,100,57.7572340000188,1.0131726008734691e-05,9.639165536224194e-06,6.99077719314299e-06,1.4492989447114046,1.3788403306114398,0.36273684210522383,0.006129133828278436,6.99077719314299e-06,0.00033742251128270707,0.0039029293028461287
actor,Eigenvector Centrality,6,pop100_gen100,100,100,53.121878041070886,0.00027574706170635895,0.0003366127785468193,0.000174684978851725,1.5785390565288204,1.9269703712334696,0.43573684210522295,0.005580955289598356,8.132860576682138e-06,0.000174684978851725,0.005913918033203963
actor,Clustering Coefficient,6,pop100_gen100,100,100,44.241993666044436,0.003946980960328356,0.0035313381691761377,0.0007011668840848871,5.629160546393564,5.036373293335135,0.467105263157855,0.005267991723394713,8.595610802686117e-06,0.00030987275245344324,0.0007011668840848871
actor,Degree,7,pop50_gen20,50,20,4.520951666985638,0.47336842105259247,0.4862631578946976,0.38415789473680273,1.2322235922729385,1.2657898342238938,0.38415789473680273,0.005815319625170614,7.753628867557558e-06,0.0002691308479314682,0.0033745279411490033
actor,Neighborhood Heterogeneity,7,pop50_gen20,50,20,4.623473917017691,0.010240358655782118,0.004930554139084722,0.001981553502282812,5.167843635806402,2.4882266027157827,0.5625263157894335,0.001981553502282812,9.825359734890695e-06,0.0002656515642085836,0.004041837416246913
actor,PageRank,7,pop50_gen20,50,20,5.698354208027013,8.917651687649318e-06,9.115670177706617e-06,7.599366449169583e-06,1.173473045062038,1.1995302817253573,0.39952631578943426,0.00839473061283168,7.599366449169583e-06,0.0003491640733877375,0.0036932193459577587
actor,Eigenvector Centrality,7,pop50_gen20,50,20,5.728467582957819,0.0002560725719247702,0.00033328437702909354,0.0001845115127247086,1.3878406184162113,1.8063066748921743,0.48942105263153923,0.004277424882509202,8.992531201410893e-06,0.0001845115127247086,0.003749673526797383
actor,Clustering Coefficient,7,pop50_gen20,50,20,4.305352417053655,0.0036017376986112993,0.0030923957460453565,0.001468824334401197,2.4521228401894892,2.1053543801111174,0.5359999999999604,0.007369892484753537,9.97752495492078e-06,0.00029374801527210734,0.001468824334401197
actor,Degree,7,pop100_gen50,100,50,22.109914166969247,0.47336842105259247,0.4862631578946976,0.33905263157890786,1.3961502638932481,1.4341819310773565,0.33905263157890786,0.01076808231951375,7.503610213981385e-06,0.0002578167474566465,0.004025818091020211
actor,Neighborhood Heterogeneity,7,pop100_gen50,100,50,22.679718957981095,0.010240358655782118,0.004930554139084722,0.001384847606287184,7.394574398866033,3.560358639246725,0.5254210526315396,0.001384847606287184,9.785372331131652e-06,0.00030051206028088257,0.0039617803632467
actor,PageRank,7,pop100_gen50,100,50,28.336484375060536,8.917651687649318e-06,9.115670177706617e-06,7.019297333087693e-06,1.2704479187130495,1.2986585045681145,0.3699999999999605,0.0050427944409219844,7.019297333087693e-06,0.0003483398372610197,0.004317251113213993
actor,Eigenvector Centrality,7,pop100_gen50,100,50,28.11018962506205,0.0002560725719247702,0.00033328437702909354,0.00018082098248703768,1.416166245768115,1.8431731342516366,0.48742105263153934,0.008143778486373396,9.251022120600436e-06,0.00018082098248703768,0.005132726547525701
actor,Clustering Coefficient,7,pop100_gen50,100,50,21.53340516600292,0.0036017376986112993,0.0030923957460453565,0.0014756117065007975,2.440843809210694,2.0956703802374483,0.5035263157894343,0.00765750610877417,9.421323886255801e-06,0.0002467371436997949,0.0014756117065007975
actor,Degree,7,pop200_gen50,200,50,45.912214749958366,0.47336842105259247,0.4862631578946976,0.35084210526311865,1.3492349234923886,1.3859885988599292,0.35084210526311865,0.006648679959342668,7.740572775341586e-06,0.00028712334524307504,0.0037321549316484902
